"id","user","message","date",
"200","Administrator","Log File Saved","2013-08-10 14:10:26",
"201","Administrator","Log File Emptied","2013-08-10 14:10:26",
"202","Admin01","Admin01 logged out","2013-08-10 14:10:59",
"203","ZacFoster","Invigilator ZacFoster  signed in","2013-08-10 14:11:11",
"204","ZacFoster","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:23.0) Gecko/20100101 Firefox/23.0","2013-08-10 14:11:11",
"205","ZacFoster","Invigilator changed their password","2013-08-10 14:11:27",
"206","Admin01","Administrator  Admin01 signed in","2013-08-10 14:11:44",
"207","Admin01","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:23.0) Gecko/20100101 Firefox/23.0","2013-08-10 14:11:44",
"208","SofiaAllen","SofiaAllen logged out","2013-08-10 14:17:49",
