"id","user","message","date",
"1439","Administrator","Log File Saved","2013-09-18 11:14:16",
"1440","Administrator","Log File Emptied","2013-09-18 11:14:16",
"1442","Admin01","Admin01 logged out","2013-09-18 11:14:45",
"1443","Admin01","Administrator  Admin01 signed in","2013-09-18 11:14:55",
"1444","Admin01","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:23.0) Gecko/20100101 Firefox/23.0","2013-09-18 11:14:55",
"1445","Admin01","Admin01 logged out","2013-09-18 11:15:11",
"1446","Admin01","Administrator  Admin01 signed in","2013-09-18 11:15:23",
"1447","Admin01","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:23.0) Gecko/20100101 Firefox/23.0","2013-09-18 11:15:23",
"1448","Admin01","Admin01 logged out","2013-09-18 11:16:20",
"1449","Admin01","Administrator  Admin01 signed in","2013-09-18 11:16:34",
"1450","Admin01","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:23.0) Gecko/20100101 Firefox/23.0","2013-09-18 11:16:34",
